College,Category,Tution Fee,Semester Fee ( Non-Refundable ),Non-refundable one time payment,Hostel  & Mess Fee,Refundable Deposit (one time payment at the time of Admission ),Total Amount
IIIT - Vadodara,General  /  OBC / EWS     ( Income  below 1L ),125000,10620,5100,77500,20000,238220
IIIT - Vadodara,SC / ST / All PwD,125000,10620,5100,77500,20000,238220
IIITDM - Jabalpur,General  /  OBC     ( Income  > 5L ),71750,7500,10500,26000,5000,120750
IIITDM - Jabalpur,General  /  OBC / EWS     ( Income  1L to 5L ),71750,7500,10500,26000,5000,120750
IIITDM - Jabalpur,General  /  OBC / EWS     ( Income  below 1L ),71750,7500,10500,26000,5000,120750
IIITDM - Jabalpur,SC / ST / All PwD,0,7500,10500,26000,5000,49000
IIITDM - Kanchipuram,General  /  OBC     ( Income  > 5L ),73000,5025,5000,33400,0,116425
IIITDM - Kanchipuram,General  /  OBC / EWS     ( Income  1L to 5L ),73000,5025,5000,33400,0,116425
IIITDM - Kanchipuram,General  /  OBC / EWS     ( Income  below 1L ),73000,5025,5000,33400,0,116425
IIITDM - Kanchipuram,SC / ST / All PwD,0,5025,5000,33400,0,43425
IIITM - Gwalior,General  /  OBC     ( Income  > 5L ) / All PwD,87000,10000,12250,32000,15000,156250
IIITM - Gwalior,General  /  OBC / EWS     ( Income  1L to 5L ),87000,10000,12250,32000,15000,156250
